推數,噓數,文章分數,文章作者,文章名稱,發表時間
14,1,13,Laizinho (森野熊三),[爆卦] 拜登1991年時稱2020時我極可能已死了,Fri Oct  2 15:30:56 2020
1,0,1,didi0909 (asabulu),[問卦] 可以一人一信到白宮建議我川嗎？,Fri Oct  2 14:03:54 2020
2,3,-1,NoobCV (挑戦者+3),[問卦] 在711吃飯開直播的網美,Wed Oct  7 19:32:28 2020
7,1,6,Howard61313 (好餓),[問卦] 美國大選辯論，主持人華勒斯現在在想啥,Fri Oct  2 13:35:50 2020
14,1,13,start9963 (失火啦火葬場啦),[問卦] 被漆彈打到是有多痛啊,Fri Oct  2 13:03:10 2020
6,0,6,b10485762000 (台北寂寞部屋),[新聞] 火星真有生命存在？ 義大利科學家宣稱火,Fri Oct  2 11:38:57 2020
6,4,2,andy15053 (andy),[問卦] 月老這麼靈，各位肥宅怎麼還單身？,Fri Oct  2 11:37:16 2020
5,0,5,thesonofevil (四非亞心),[問卦] 老大 口水戰真的有用耶,Fri Oct  2 13:19:40 2020
7,5,2,qwer1988 (白獅),[問卦] 為何共匪軍機擾台 我們要出動驅逐？,Wed Oct  7 18:30:15 2020
6,0,6,asdfg012345 (Vicious circle),[問卦] 美國不開戰！總統總統染疫難道吞下去,Fri Oct  2 14:41:51 2020
9,2,7,cdcardabc (覺得難笑就給個推去逃漏5),[問卦] 川普中標 五毛高潮？,Fri Oct  2 14:58:21 2020
37,3,34,qazxc1156892 (QQ),[新聞] 川普拒絕「改變辯論形式」：我上次輕鬆,Fri Oct  2 11:45:34 2020
3,0,3,ljsnonocat2 (凡所有相皆是虛妄),[問卦] 共機擾台 可以用雷達鎖定嗎？,Wed Oct  7 19:10:39 2020
9,1,8,GGBronze (DavidWang),[問卦] 認真問 準備電機研究所大概要多久？？,Fri Oct  2 15:02:54 2020
10,2,8,ilc0217 (老羽),[爆卦] 中秋夜，我家門口有人自撞,Fri Oct  2 13:23:21 2020
3,3,0,philip5566 (5566得第一),[爆卦] 台灣上華盛頓郵報…的標題,Wed Oct  7 20:07:24 2020
1,9,-8,Bape5566APE (我的迷彩外套有5個仁甫頭),[問卦] 愛莉莎莎刻在你心底的名字,Fri Oct  2 12:39:29 2020
10,1,9,taco3019397 (taco),[問卦] 月收50萬在鄉下是什麼等級,Fri Oct  2 15:31:37 2020
5,4,1,kinki999 (QQk 廢文被劣文中),[問卦] 台女脫口秀只能靠黃色出名嗎,Fri Oct  2 12:54:29 2020
8,0,8,gogopacer (gogopacer),[問卦] 憑實力發爆文是不是滿強的？,Wed Oct  7 19:36:29 2020
48,19,29,admeta (陽明山),[新聞] 佛心來的！全台唯一「特斯拉小黃」在新竹,Wed Oct  7 16:44:39 2020
3,9,-6,norvasc (Norton),[問卦] 愛莉莎莎居然還沒男友？ 怎麼解釋,Fri Oct  2 12:07:11 2020
3,0,3,zarados (HowKung-Fu),[問卦] 美軍 CIA 現在在幹嘛？,Fri Oct  2 14:00:28 2020
3,0,3,scotch77642 (夢遺張孝全),[問卦] 女生會愛看軍教片嗎,Fri Oct  2 13:32:49 2020
23,0,23,muse87131 (),[問卦] 川普中標，週一台股怎麼玩？,Fri Oct  2 13:41:36 2020
31,5,26,Tencc (10cc),[新聞] 深夜驚魂！妙齡女遭尾隨200米　急叩男友,Wed Oct  7 18:42:56 2020
44,2,42,Busufu (不太舒服),[問卦] 工程師該開什麼等級的車？,Wed Oct  7 18:04:45 2020
8,4,4,leon105 (@@),[新聞] 背女友偷吃同校妹「6天做3次」！專科男,Wed Oct  7 20:22:45 2020
7,0,7,melissalewis (龍使弗利茲),[問卦] ‘’和平‘’是不是根本不可能？,Fri Oct  2 12:36:51 2020
4,3,1,xxxluke (我手裡拿著小皮鞭),[問卦] 鳴人共使出多少次影分身？,Wed Oct  7 19:58:41 2020
234,36,198,GrimmNotes (格林童話),[問卦] 中國人：川普一死 下個就換台灣,Fri Oct  2 13:50:44 2020
2,3,-1,ergostepo (ergo),[問卦] 大家國慶連假有出遊嗎？,Fri Oct  2 11:53:17 2020
5,6,-1,staedtler (鐵甲武士),[新聞] 色男持刀白嫖強盜按摩女　留100元給她吃,Fri Oct  2 13:48:51 2020
13,6,7,waymayday (不要問),[問卦] 貓貓要怎麼料理？,Wed Oct  7 20:15:14 2020
9,3,6,HisVol (他的體積),[問卦] 台灣自行車廠為什麼比汽車強那麼多？,Fri Oct  2 12:23:57 2020
19,1,18,KouKouMeow (摳摳),[協尋] 高雄前金區 黑白貓小蜜(代po),Wed Sep 30 22:46:26 2020
6,2,4,ilovemami (聯絡簿教主),[問卦] 能免役要免役嗎,Wed Oct  7 17:53:33 2020
0,0,0,GOD5566GOD (o'_'o),[新聞] 川普夫婦確診 羅友志驚喊：美國版的兩顆,Fri Oct  2 15:44:00 2020
7,2,5,billkingFH (kiraqueen),[問卦] 絕版的書自行列印會觸法嗎？,Fri Oct  2 13:57:57 2020
2,0,2,Acalanatha (不動明王),[問卦] 中國人的傳統美德都到哪兒去了？,Fri Oct  2 12:09:10 2020
4,0,4,smalltwo (獎金獵人),[新聞] 水情拉警報 桃竹苗台中4區域下週三起實施,Wed Oct  7 17:43:30 2020
59,15,44,Aruka0924 (Aruka),[問卦] 台灣豬標章得獎作者：綠色代表安全,Wed Oct  7 19:42:09 2020
16,5,11,lunli924 (餛飩),[問卦] hebe的唱腔 怎麼越來越奇怪,Wed Oct  7 17:25:23 2020
0,0,0,TomRiddle (湯姆瑞斗),[問卦] 現實世界要怎麼拐走有錢人的未婚妻,Fri Oct  2 13:38:52 2020
5,1,4,sinana (  ),[問卦] 裝病,Fri Oct  2 13:49:48 2020
111,2,109,TyuzuChou (子瑜我老婆),[新聞] 川普確診新冠肺炎 感染科醫：拜登危險了,Fri Oct  2 14:03:56 2020
10,6,4,yorkyoung (約克羊),[問卦] 每次睡醒頭髮都會亂翹怎麼辦,Fri Oct  2 12:18:41 2020
2,2,0,teeheehee (軟尾拋拋翔(′・ω・`)),[問卦] 中秋烤肉趴帶甚麼食材最雷？,Fri Oct  2 12:57:57 2020
23,0,23,kiball (stay hungry),[新聞] 「反覆自打臉又一直要當官」　林為洲再,Wed Oct  7 17:44:20 2020
88,2,86,JetChen (JetChen),[問卦] 如果川普康復會說什麼？,Fri Oct  2 13:51:37 2020
11,0,11,chuchichan (老邱),[問卦] 北市新生南路是不是設計得很智障,Fri Oct  2 12:59:45 2020
15,1,14,jackymars5 ((                )),[問卦] 有無秋天真的來臨了,Wed Oct  7 19:20:53 2020
4,1,3,Cassander (Cassander),[新聞]瑞郎升不停 瑞士央行擋不住,Wed Oct  7 19:14:37 2020
4,1,3,sploo (正確的方向決定一切),[問卦] 歐陽娜娜是不是用來轉移焦點的,Fri Oct  2 11:58:53 2020
3,7,-4,ckp4131025 (ckp4131025),[問卦] Buffett 只吃8分飽算財富自由嗎,Fri Oct  2 12:40:05 2020
17,1,16,Thirdshadow (滑蛋少年糰),[問卦] 如何入門二戰歷史？,Fri Oct  2 15:17:49 2020
1,3,-2,Gary5566 (等我長大要娶天音かなた),[問卦] 下課想直接回家卻被我姊叫去加社團,Wed Oct  7 21:17:44 2020
85,26,59,AZ09 (卡薩丁守中路),[新聞] 五星旗亂象》防中共藉言論自由統戰 綠委,Fri Oct  2 12:15:07 2020
19,5,14,seabox (盒盒),[公告] 數條板規修改草案於gossippicket討論,Sun Oct  4 21:16:27 2020
2,3,-1,david0426 (軒軒寶貝),[問卦] 吃螃蟹時都怎麼去殼？,Wed Oct  7 19:53:39 2020
5,0,5,edwardsyo (愛德華),[問卦] 川普康復後會說什麼,Fri Oct  2 14:46:38 2020
128,7,121,hateOnas (老伴 △要怕老婆),[問卦] 清國國慶是何時？發錢算內亂嗎,Fri Oct  2 12:47:05 2020
9,4,5,love913109 (暖男好難當),[問卦] 買3杯綠豆沙牛奶只有一根吸管是什麼意思,Wed Oct  7 16:38:12 2020
124,13,111,tony900735 (安西街教練),[問卦] 拜登超穩了吧？,Fri Oct  2 13:29:49 2020
19,4,15,googolplex (googolplex),[新聞] 扁籲朝野兩岸和解 馬點頭相挺,Fri Oct  2 12:49:51 2020
89,7,82,shenguan (申申不息),[問卦] 陸客多久沒來了台灣也沒怎樣,Wed Oct  7 18:10:15 2020
17,3,14,mossdevin (Devin Moss 10),[問卦] 中國戰狼外交成果出爐! 全世界恨死了!,Wed Oct  7 19:10:59 2020
11,4,7,taipei5566 (臺北56),[問卦] 多賢最可愛是什麼時期？,Fri Oct  2 14:20:04 2020
18,4,14,HisVol (他的體積),[新聞] 獨家｜金曲台語歌后浴室全裸重摔　送急診,Wed Oct  7 16:30:37 2020
6,0,6,Scathach (紫色BBA),[問卦] 維尼的歷史定位是不是穩了,Fri Oct  2 13:10:10 2020
8,1,7,marsalien (mars),[問卦] 民主黨派拜登是不是看美國人沒有,Fri Oct  2 12:50:03 2020
13,7,6,joliha (一輪明月),[問卦] 盲眼神婆巴巴萬加預言川普罹怪病倒下,Fri Oct  2 15:09:38 2020
4,1,3,jeremytsai (鬆),[問卦] 煞車油缸維修要多少錢啊？,Wed Oct  7 17:28:34 2020
1,2,-1,neil136 (BianYuanFeiJhai),[問卦] 賣炸雞的，怎麼都不見了？,Fri Oct  2 15:19:24 2020
6,1,5,WuDunE (GLAUCUS),[問卦] 台灣能養老虎嗎,Wed Oct  7 18:26:11 2020
5,1,4,createlight (創輝),[新聞] 中共「抄近道」求世衛幫推未完成試驗的疫,Wed Oct  7 20:59:47 2020
5,2,3,americ (americ),[問卦] 有沒有7分鐘就一篇大紀元新唐人的八卦,Wed Oct  7 20:49:23 2020
6,3,3,smileboy2016 (Sand Tree Pad),[問卦] 慟！愛樂電台電腦版全面收費了！！！,Wed Oct  7 17:36:03 2020
16,0,16,girl55665566 (同志友善ID),[新聞] 宣稱保護同志導致滅亡 日本東京區議員拒,Wed Oct  7 20:04:28 2020
33,4,29,nobel777 (),[爆卦] 王柏融棒打日本澤村賞名投,Wed Oct  7 19:19:13 2020
2,2,0,fly820822 (大飛哥啦),[問卦] 美國484房子都可以隨便蓋,Fri Oct  2 14:26:46 2020
10,4,6,toolmaster (工具人大師),[問卦] 在北極丟冰塊就好了吧？,Fri Oct  2 11:49:37 2020
34,1,33,Ryo5566 (),[新聞] 酒店公關爽吃人夫...還跩嗆正宮「鬆姐黑,Fri Oct  2 14:47:34 2020
4,1,3,createlight (創輝),[新聞] 美50參議員促啓動美台全面貿易協議談判,Fri Oct  2 12:55:21 2020
6,1,5,kbt2720 (master),[問卦] 印加果油的卦,Wed Oct  7 16:44:08 2020
24,2,22,wei0204 (喂~色情電話),[新聞] 3葬槍道別！孫女捧骨灰 李登輝長眠五指山,Wed Oct  7 20:31:24 2020
3,1,2,LeeAnAn (就值得了愛，就值得了等),[問卦] 強人為什麼都先有女兒？,Wed Oct  7 17:41:56 2020
1,0,1,Yirgacheffe (守住善良),[新聞] 美公布年度難民接納計劃 首次納入香港人,Fri Oct  2 13:26:58 2020
12,2,10,Elsie1999 (艾兒),[問卦] 為何大腸麵線要加蒜泥？？,Wed Oct  7 18:33:43 2020
5,10,-5,t77133562003 (我是一隻山羊),[新聞] 蘇揆指示 儘速盤整資安黑名單,Wed Oct  7 17:02:51 2020
1,1,0,ann141414 (海底撈火鍋),[問卦] 川普是不是要下去了啊,Fri Oct  2 13:24:34 2020
8,1,7,nail5566 (寶寶不說),[問卦] 川普推特1小時20萬留言,Fri Oct  2 14:32:40 2020
12,1,11,saiulbb (#KEEP MLB GREAT!),[新聞] 「你幾歲開始長陰毛？」 丹麥兒童節目給,Wed Oct  7 21:21:10 2020
2,0,2,yogurt0313 (愛草莓),[問卦] 銀行一直打來幹嘛,Wed Oct  7 18:43:14 2020
10,3,7,ginsengwolf ( ),[問卦] 梅花三不能保留是不是多數暴力,Wed Oct  7 16:13:59 2020
3,2,1,zakijudelo (Zack),[問卦] 共軍會不等外國人撤僑就打台灣？,Wed Oct  7 17:54:26 2020
4,10,-6,alinalovers (凜冬將至企鵝在天涯),"[問卦] Baby shark, doo, doo, doo, doo, doo,",Wed Oct  7 20:00:41 2020
11,0,11,utdsml (阿邊肥),[問卦] 推薦台中不會瘋狂推銷的健身房,Fri Oct  2 12:01:30 2020
4,0,4,farmer (^_^),[問卦] 房地產會崩盤嗎？,Fri Oct  2 14:59:42 2020
12,1,11,yoyo2008yoyo (Jgosu?),[問卦] 玩什麼遊戲才不顯宅啊,Fri Oct  2 12:30:29 2020
4,4,0,juyhnmki (juyhnmki),[問卦] 光頭櫻木來了！！,Fri Oct  2 13:19:10 2020
2,1,1,h50212263 (奈威),[問卦] 很用力業配奮game有多辛苦？,Fri Oct  2 15:13:00 2020
4,0,4,iamshana (CANINE力集中在一些重要S),[新聞] 台鐵區間車撞到闖入機車 保安=中洲雙向,Wed Oct  7 21:17:49 2020
2,2,0,Comebuy (三分鐘熱度),[新聞] 違國際禁令偷賣北韓石油3000噸　貪財船東,Wed Oct  7 21:16:21 2020
47,12,35,Anddyliu (安滴滴),[新聞] 教召不夠！陳玉珍提「金門民防自衛隊」,Wed Oct  7 16:57:21 2020
3,2,1,coon182 (微笑小空空♥),[問卦] 有沒有全聯要開節目的八卦,Wed Oct  7 20:26:42 2020
8,0,8,ben28 (ben),[問卦] 川普這次不死也半殘了？,Fri Oct  2 13:25:46 2020
3,2,1,wsp0323 (wsp0323),[問卦] 愛Z莎莎跟那兩個日本人到底有沒外流影片,Fri Oct  2 11:55:51 2020
20,18,2,hbk20491 (〥夢中情一場夢〥),[新聞] 陳廷寵「國軍戰力零」論 吳斯懷：憲法言,Wed Oct  7 16:37:51 2020
1,0,1,nicolaskage (棋聖),[問卦] 我們是不是都把藝人想錯了,Fri Oct  2 12:55:31 2020
10,1,9,AllMight (澤近愛理我老婆),[問卦] 白石到底有什麼資格站在西野七瀬旁邊？,Wed Oct  7 21:07:42 2020
8,2,6,ans781020 (5566),[問卦]急！ 台中一中街有沒有能寄放包包的,Fri Oct  2 12:23:36 2020
6,3,3,toto3527 (toto),[問卦] 我破解兩岸開戰的方法了,Wed Oct  7 21:03:07 2020
4,2,2,a09651238 (可口美味好滋味),[問卦] 台股來不及逃耶,Fri Oct  2 13:27:12 2020
48,3,45,kailayxiudo (肉毒桿菌),"[新聞] Excel漏數據之亂 英國1萬6,000名COVID-19",Wed Oct  7 19:23:10 2020
48,6,42,LinuxKernel (Linus Torvalds),[新聞] 綠委竟爆陳其邁上任後 高雄治安不佳 懲處,Wed Oct  7 19:59:05 2020
2,0,2,johanLarson (Rent),[問卦] 中國開始要抹臭美國了嗎,Fri Oct  2 13:39:04 2020
15,1,14,rosefan (Rocket Queen),[新聞] 川普確診｜重大！川普證實和第一夫人確,Fri Oct  2 13:42:57 2020
10,3,7,gn01914712 (台大人類系之光柏豪哥),[問卦] 隨便說三個台北市景點,Wed Oct  7 16:48:47 2020
8,2,6,bornwinner (tripleandyliu),[問卦] 拜登如果也確診美國大選會延期嗎？,Fri Oct  2 15:15:59 2020
0,0,0,seabox (盒盒),[公告] 八卦板板規(2020.07.21),Tue Jul 21 00:00:04 2020
22,35,-13,armorblocks (package),[新聞] 新課本撞臉小英 蔡英文笑：以後都要選女,Wed Oct  7 19:03:27 2020
1,3,-2,kopuck (派翠克星星),[問卦] 白鞋為什麼這麼誘人,Fri Oct  2 11:57:31 2020
0,0,0,JimOBrien (family man),[新聞] 屏東新住民媽媽搭起溝通橋樑 影像記錄移,Fri Oct  2 12:55:10 2020
4,1,3,eeth (韓國綜藝社),[新聞] 新澤西州垃圾箱內發現成堆郵件 包括選票,Wed Oct  7 20:28:58 2020
42,4,38,v26457681 (),[問卦] 義交都是計程車司機兼差 時薪300,Wed Oct  7 17:21:35 2020
13,12,1,blueskymaple (你是不是在發球),[新聞] 他選上高雄拋棄年輕人？李眉蓁怒：這錢,Wed Oct  7 19:25:11 2020
2,5,-3,Fortran (Fortran),[問卦] 墾丁後壁湖海底十字架的八卦,Wed Oct  7 21:23:52 2020
2,0,2,cycling (一直暴雷一直爽),[新聞] 在野3黨明聯合提監院人事案釋憲　藍白合,Wed Oct  7 20:53:11 2020
2,4,-2,AllBlack (All Black),[問卦] 支持英國、美國即刻進攻中國！,Fri Oct  2 13:32:10 2020
12,4,8,lescafe (),[新聞] 有片／人在美國不忘花蓮　蕭美琴錄影捎,Fri Oct  2 12:34:35 2020
19,0,19,seibu (難過),[新聞] 操作吊車誤觸高壓電 男子遭電擊送醫,Wed Oct  7 16:32:10 2020
1,1,0,JasperChang (PeterChou),[問卦] 暗槓退房小費有搞頭嗎,Wed Oct  7 20:57:34 2020
5,1,4,paulabxz123 (優文大師),[問卦] 手機的emoji表情符號484很嘲諷,Fri Oct  2 12:55:06 2020
3,1,2,layu19920414 (Guan-Jie Huang),[問卦] 萬華的廚具店484很黑牙？,Wed Oct  7 20:06:20 2020
7,2,5,chadmu (查德姆),[問卦] 在全聯上班是什麼感覺,Wed Oct  7 21:21:50 2020
60,2,58,pitalvlu (pital),[新聞] 川普確診「躺棺材」曝光！美網友貼辛普,Fri Oct  2 14:18:21 2020
29,6,23,whj0530 (億載金城武),[新聞] 川普夫婦確診陸網嗨爆！直衝微博熱搜第一,Fri Oct  2 14:59:13 2020
3,0,3,Giddcns (狠、插、勁！！！),[問卦] 命理老師會怎麼評論這波染疫？,Fri Oct  2 13:47:19 2020
28,2,26,hoyumi (正版型男...無誤!!!),[新聞] 立院初審 調戲同性最高可處6000元罰鍰,Wed Oct  7 17:29:05 2020
167,8,159,CharleneTsai (給他200塊去吃麥當勞啦),[新聞] 海邊漂來「怪香黑石」！送檢報告出爐「就,Wed Oct  7 16:48:39 2020
2,4,-2,Dinenger (低能兒),[問卦] 欸欸 川普甘我屁事？洗一堆標題,Fri Oct  2 13:36:11 2020
3,2,1,pewdiefish (PewDieFish),[問卦] 有沒有胸罩L75是什麼概念的八卦,Wed Oct  7 18:25:38 2020
6,0,6,tatty5566 ( ),[問卦] 當時屯酒精的現在在想什麼,Fri Oct  2 13:33:29 2020
7,1,6,wavespirit (鄉民進化論),[新聞] 川普染疫！新冠病毒檢測呈陽性 道瓊期指4,Fri Oct  2 13:41:55 2020
1,1,0,zakijudelo (Zack),[問卦] 川普辯論會狂插話噴口水，是計畫通？,Fri Oct  2 13:30:08 2020
1,0,1,seth5421 (正版廢文王),[問卦] 大家會仔細算找回來的錢嗎,Wed Oct  7 20:52:07 2020
22,29,-7,Israfil (贖罪聖音),[新聞] 中共不是祖國？蔡正元歷史分析 「中國確,Fri Oct  2 15:10:13 2020
6,3,3,ToHsiang (誤上賊船),[新聞] 2北市長熱門人選同現身 陳時中讚不簡單林右,Fri Oct  2 15:24:08 2020
63,21,42,joug (好東西不簽嗎),[新聞] 國防部：教召14天最高加薪1.5倍　1年1訓2,Wed Oct  7 16:31:29 2020
6,1,5,thegreatlcx (體制就跟五樓屁股一樣),[問卦] 台灣工人的形象怎麼救？,Fri Oct  2 14:32:48 2020
4,2,2,elec1141 (木村拓哉),[問卦] 川普中鏢 算中國攻擊嗎？,Fri Oct  2 13:27:56 2020
2,5,-3,qskingq (勾勾),[問卦] 如果美國堅持一中原則，台灣會被扁嗎==,Fri Oct  2 14:18:48 2020
7,1,6,MintSu (Simon),[問卦] 中國功夫打的贏印度少林功夫嗎？,Wed Oct  7 16:42:58 2020
9,2,7,ben28 (ben),[問卦] 賀中共國慶的藝人會賀我們國慶嗎？,Fri Oct  2 11:46:43 2020
5,0,5,doraBBO (天才小釣手),[問卦] 為什麼要相信房子會跌不能買這種話？,Wed Oct  7 19:37:00 2020
7,0,7,nothisman (在人海中迷失),[新聞] 地表「最胖肥熊」出爐！　635kg棕熊挺「,Wed Oct  7 21:00:58 2020
0,0,0,wa778895 (oilsunbright),[問卦] 我是被下套了嗎？,Wed Oct  7 21:27:26 2020
15,4,11,stan0720 (Kimo),[問卦] 認真問 人一天可以走幾公里呀？,Fri Oct  2 14:00:50 2020
5,0,5,bigtreelife (Tree),[問卦] 叫外送的年輕人都是什麼人,Fri Oct  2 15:29:44 2020
