job_id,job_name,job_state,product_name,start_dt,modified_dt,time_took_sec
job_202205251719_1653470393.2947276,prod04_userinfo_SQLs,done,prod04_prod,2022-05-25 09:19:53,2022-05-25 09:23:54,241.0
job_202205251720_1653470429.0993779,prod04_userinventory_SQLs,done,prod04_prod,2022-05-25 09:20:29,2022-05-25 09:26:03,334.0
job_202205251721_1653470472.761873,prod04_userdynamic_SQLs,done,prod04_prod,2022-05-25 09:21:12,2022-05-25 09:25:35,263.0
job_202205251721_1653470472.9306562,prod04_caconfig_SQLs,done,prod04_prod,2022-05-25 09:21:12,2022-05-25 09:21:15,3.0
job_202205251721_1653470480.188846,prod04_caguild_SQLs,done,prod04_prod,2022-05-25 09:21:20,2022-05-25 09:23:11,111.0
job_202205251721_1653470480.4078784,prod04_caitem_SQLs,done,prod04_prod,2022-05-25 09:21:20,2022-05-25 09:21:22,2.0
job_202205251721_1653470480.570165,prod04_camarket_SQLs,done,prod04_prod,2022-05-25 09:21:20,2022-05-25 09:21:22,2.0
job_202205251721_1653470480.9612467,prod04_carankey_SQLs,done,prod04_prod,2022-05-25 09:21:21,2022-05-25 09:21:23,2.0
job_202205251721_1653470481.1318667,prod04_caschool_SQLs,done,prod04_prod,2022-05-25 09:21:21,2022-05-25 09:21:23,2.0
job_202205251721_1653470481.2959151,prod04_cataiwanstat_SQLs,done,prod04_prod,2022-05-25 09:21:21,2022-05-25 09:21:23,2.0
job_202205251721_1653470481.4595938,prod04_cautils_SQLs,done,prod04_prod,2022-05-25 09:21:21,2022-05-25 09:21:23,2.0
job_202205251721_1653470481.6693878,prod04_fxmessage_SQLs,done,prod04_prod,2022-05-25 09:21:21,2022-05-25 09:21:23,2.0
job_202205251721_1653470481.8336654,prod04_purchaseinfo_SQLs,done,prod04_prod,2022-05-25 09:21:21,2022-05-25 09:21:24,3.0
job_202205251721_1653470485.451595,prod04_purchaserank_SQLs,done,prod04_prod,2022-05-25 09:21:25,2022-05-25 09:23:03,98.0
job_202205251721_1653470507.3087845,prod04_cupdynamic_SQLs,done,prod04_prod,2022-05-25 09:21:47,2022-05-25 09:23:57,130.0
job_202205251722_1653470524.469817,prod04_cupinventory_SQLs,done,prod04_prod,2022-05-25 09:22:04,2022-05-25 09:25:57,233.0
job_202205251722_1653470524.6298618,prod04_serverlogdb_SQLs,done,prod04_prod,2022-05-25 09:22:04,2022-05-25 09:22:06,2.0
job_202205251722_1653470524.8034084,prod04_tranxlog_SQLs,done,prod04_prod,2022-05-25 09:22:04,2022-05-25 09:22:07,3.0
job_202205251722_1653470524.986866,prod04_usercontent_SQLs,done,prod04_prod,2022-05-25 09:22:05,2022-05-25 09:22:07,2.0
job_202205251722_1653470525.1526392,prod04_usereditlog_SQLs,done,prod04_prod,2022-05-25 09:22:05,2022-05-25 09:22:07,2.0
job_202205251722_1653470525.3365319,prod04_webguild_SQLs,done,prod04_prod,2022-05-25 09:22:05,2022-05-25 09:22:07,2.0
job_202205251725_1653470701.0473027,prod04_userinfo_SQLs,done,prod04_prod,2022-05-25 09:25:01,2022-05-25 09:28:31,210.0
job_202205251728_1653470900.908555,prod04_userinventory_SQLs,done,prod04_prod,2022-05-25 09:28:20,2022-05-25 09:34:00,340.0
job_202205251735_1653471310.6601508,prod04_userdynamic_SQLs,done,prod04_prod,2022-05-25 09:35:10,2022-05-25 09:39:49,279.0
job_202205251740_1653471652.9656668,prod04_caconfig_SQLs,done,prod04_prod,2022-05-25 09:40:53,2022-05-25 09:42:01,68.0
job_202205251741_1653471708.098173,prod04_caguild_SQLs,done,prod04_prod,2022-05-25 09:41:48,2022-05-25 09:43:54,126.0
job_202205251745_1653471946.270829,prod04_caitem_SQLs,done,prod04_prod,2022-05-25 09:45:46,2022-05-25 09:46:59,73.0
job_202205251747_1653472046.4651651,prod04_camarket_SQLs,done,prod04_prod,2022-05-25 09:47:26,2022-05-25 09:52:35,309.0
job_202205251748_1653472094.0521991,prod04_carankey_SQLs,done,prod04_prod,2022-05-25 09:48:14,2022-05-25 09:50:37,143.0
job_202205251748_1653472108.8490171,prod04_caschool_SQLs,done,prod04_prod,2022-05-25 09:48:28,2022-05-25 09:50:42,134.0
job_202205251748_1653472122.9448771,prod04_cataiwanstat_SQLs,done,prod04_prod,2022-05-25 09:48:42,2022-05-25 09:50:14,92.0
job_202205251748_1653472133.684868,prod04_cautils_SQLs,done,prod04_prod,2022-05-25 09:48:53,2022-05-25 09:49:27,34.0
job_202205251749_1653472145.5257547,prod04_fxmessage_SQLs,done,prod04_prod,2022-05-25 09:49:05,2022-05-25 09:49:47,42.0
